,사고지역관리번호,사고연도,사고유형구분,위치코드,사고다발지역시도시군구,사고지역위치명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,위도,경도
9323,2019035,2018,보행어린이,41113001,경기도 수원시 권선구1,경기도 수원시 권선구 권선동(권선초교 부근),4,4,0,1,3,0,37.26235515,127.0214527
9324,2019035,2018,보행어린이,41113002,경기도 수원시 권선구2,경기도 수원시 권선구 세류동(신곡초교 부근),3,3,0,0,3,0,37.25787595,127.0154213
9325,2019035,2018,보행어린이,41131001,경기도 성남시 수정구1,경기도 성남시 수정구 신흥동(숯골사거리 부근),4,4,0,3,1,0,37.44439083,127.1423719
9326,2019035,2018,보행어린이,41131002,경기도 성남시 수정구2,경기도 성남시 수정구 태평동(태평초교 부근),3,3,0,1,2,0,37.44542677,127.1325254
9327,2019035,2018,보행어린이,41133001,경기도 성남시 중원구1,경기도 성남시 중원구 은행동(상대원시장앞 부근),4,4,0,1,2,1,37.43617758,127.1581869
9328,2019035,2018,보행어린이,41150001,경기도 의정부시1,경기도 의정부시 금오동(금신교차로 부근),3,3,0,2,1,0,37.74830051,127.057918
9329,2019035,2018,보행어린이,41150002,경기도 의정부시2,경기도 의정부시 호원동(Dh빌딩 부근),3,3,0,1,2,0,37.71333995,127.0465304
9330,2019035,2018,보행어린이,41150003,경기도 의정부시3,경기도 의정부시 의정부동(가능역 부근),3,3,0,1,1,1,37.74854426,127.0438298
9331,2019035,2018,보행어린이,41190001,경기도 부천시1,경기도 부천시 원미동(원미사거리 부근),4,4,0,1,3,0,37.49278532,126.790912
9332,2019035,2018,보행어린이,41210001,경기도 광명시1,경기도 광명시 철산동(광북초교사거리 부근),3,3,0,1,1,1,37.48716423,126.8677103
9333,2019036,2018,보행노인,11320002,서울특별시 도봉구2,서울특별시 도봉구 창동(쌍문역 부근),4,4,0,2,1,1,37.64915026,127.0353739
9334,2019035,2018,보행어린이,41271001,경기도 안산시 상록구1,경기도 안산시 상록구 본오동(반월신협본오지점 부근),3,3,0,2,0,1,37.28736748,126.8661707
9335,2019035,2018,보행어린이,41271002,경기도 안산시 상록구2,경기도 안산시 상록구 수암동(수암마트약국 부근),3,3,0,0,3,0,37.36319393,126.876815
9336,2019035,2018,보행어린이,41281001,경기도 고양시 덕양구1,경기도 고양시 덕양구 화정동(화정중앙공원 부근),3,3,0,0,1,2,37.63264815,126.8321283
9337,2019035,2018,보행어린이,41360001,경기도 남양주시1,경기도 남양주시 진접읍(폴리프라자2입구 부근),5,6,0,0,6,0,37.7147088,127.1981045
9338,2019035,2018,보행어린이,41360002,경기도 남양주시2,경기도 남양주시 와부읍(덕소초교 부근),3,7,0,2,4,1,37.58731149,127.2155346
9339,2019035,2018,보행어린이,41360003,경기도 남양주시3,경기도 남양주시 오남읍(상일빌딩 부근),3,3,0,1,2,0,37.68360766,127.2108502
9340,2019035,2018,보행어린이,41360004,경기도 남양주시4,경기도 남양주시 진접읍(주공2단지아파트 107동 부근),3,3,0,1,2,0,37.71725473,127.1825383
9341,2019035,2018,보행어린이,41360005,경기도 남양주시5,경기도 남양주시 화도읍(송라초교앞 부근),3,3,0,0,3,0,37.65518539,127.3014127
9342,2019035,2018,보행어린이,41390001,경기도 시흥시1,경기도 시흥시 장곡동(진말로9번길 부근),3,3,0,1,1,1,37.37824681,126.7844444
9343,2019035,2018,보행어린이,41450001,경기도 하남시1,경기도 하남시 망월동(헤럴드어학원 부근),3,3,0,1,1,1,37.56975862,127.1855596
9344,2019035,2018,보행어린이,41463001,경기도 용인시 기흥구1,경기도 용인시 기흥구 중동(용인동백우체국 부근),3,3,0,0,3,0,37.27737077,127.1551796
9345,2019035,2018,보행어린이,41480001,경기도 파주시1,경기도 파주시 야당동(한빛휴먼시아6단지아파트정문 부근),4,6,0,4,2,0,37.71066455,126.7510303
9346,2019035,2018,보행어린이,41590001,경기도 화성시1,경기도 화성시 향남읍(대통한의원 부근),3,3,1,0,2,0,37.12606065,126.9148896
9347,2019035,2018,보행어린이,41590002,경기도 화성시2,경기도 화성시 병점동(병점2동주민센터 부근),3,3,0,1,2,0,37.21072762,127.0424515
9348,2019035,2018,보행어린이,41610001,경기도 광주시1,경기도 광주시 오포읍(광명초교 부근),6,6,0,2,4,0,37.35924934,127.1608802
9349,2019035,2018,보행어린이,41610002,경기도 광주시2,경기도 광주시 경안동(감초당약국 부근),4,6,0,2,4,0,37.40989286,127.2581122
9350,2019035,2018,보행어린이,41610003,경기도 광주시3,경기도 광주시 오포읍(양벌초교 부근),3,3,0,1,2,0,37.37866097,127.2566521
9351,2019035,2018,보행어린이,41610004,경기도 광주시4,경기도 광주시 태전동(광남동 행정복지센터 부근),3,3,0,1,1,1,37.38896241,127.2293294
9352,2019035,2018,보행어린이,43111001,충청북도 청주시 상당구1,충청북도 청주시 상당구 용암동(용암공원 부근),3,3,0,1,2,0,36.61056574,127.5018019
9353,2019035,2018,보행어린이,43112001,충청북도 청주시 서원구1,충청북도 청주시 서원구 개신동(개신동우체국 부근),3,5,0,2,3,0,36.62074455,127.4462624
9354,2019035,2018,보행어린이,43113001,충청북도 청주시 흥덕구1,충청북도 청주시 흥덕구 가경동(해온빌딩 부근),3,3,0,1,2,0,36.62204773,127.4297348
9355,2019035,2018,보행어린이,43114001,충청북도 청주시 청원구1,충청북도 청주시 청원구 주성동(우보빌딩입구 부근),4,5,0,2,3,0,36.67114129,127.4974485
9356,2019035,2018,보행어린이,43114002,충청북도 청주시 청원구2,충청북도 청주시 청원구 율량동(청주여고 부근),3,3,0,1,2,0,36.66884208,127.4898165
9357,2019035,2018,보행어린이,43130001,충청북도 충주시1,충청북도 충주시 용산동(충주농협 용산지점 부근),3,3,0,0,3,0,36.96173483,127.9403523
9358,2019035,2018,보행어린이,44133001,충청남도 천안시 서북구1,충청남도 천안시 서북구 성정동(천안서초교 부근),4,4,0,2,2,0,36.82386189,127.1391914
