"응답자특성별(1)","응답자특성별(2)",성별(1),2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"응답자특성별(1)","응답자특성별(2)",성별(1),분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차,분석대상자수 (명),음주율 (%),표준오차
"지역별","서울",남학생,4018,23.1,0.9,5428,22.4,1.0,5266,20.9,1.0,5604,17.7,0.9,5537,21.0,0.8,4846,18.0,1.0,4804,15.7,0.9,4541,16.6,0.8,4402,17.1,0.7,4210,15.3,0.8,4067,9.9,0.6,3855,10.4,0.6
"지역별","서울",여학생,3830,18.0,1.0,5926,16.0,0.6,6107,15.4,0.7,5561,12.2,0.6,5460,12.0,0.6,4864,11.5,0.8,4763,11.6,0.8,4746,12.7,0.7,4369,13.6,0.9,4127,10.6,0.7,3624,7.6,0.8,3788,6.7,0.5
"지역별","부산",전체,5303,20.9,0.9,5157,20.9,1.0,4939,18.3,0.9,4649,16.1,0.9,4436,16.9,0.7,4209,17.6,0.9,3979,15.0,0.9,3752,14.8,1.0,3818,15.9,1.1,3512,14.9,0.9,3326,9.6,0.7,3235,9.9,0.7
"지역별","부산",남학생,2804,24.0,1.5,2781,23.9,1.2,2807,20.5,1.4,2412,18.7,1.2,2300,19.6,1.3,2159,20.3,1.2,1957,17.0,1.2,1738,17.1,1.7,1882,18.1,1.6,1872,17.4,1.2,1714,10.5,1.2,1754,11.6,1.0
"지역별","부산",여학생,2499,17.3,1.2,2376,17.4,1.4,2132,15.8,1.4,2237,13.1,1.1,2136,13.8,1.1,2050,14.6,1.5,2022,12.8,1.4,2014,12.3,1.2,1936,13.6,1.2,1640,12.2,1.4,1612,8.6,0.9,1481,8.0,0.9
"지역별","대구",전체,5030,18.8,0.9,4439,19.8,0.9,4312,17.9,0.9,4151,14.6,1.0,3952,14.7,0.8,3614,16.7,1.1,3292,13.0,0.7,3288,14.2,1.0,3066,14.3,1.0,2965,14.6,0.9,2767,8.5,0.7,2929,10.5,0.8
"지역별","대구",남학생,2650,20.4,1.5,2391,22.9,1.4,2624,20.6,1.4,2161,17.6,1.3,2063,18.2,1.3,2081,20.1,1.8,1806,14.9,1.0,1707,18.2,1.3,1473,17.3,1.3,1612,17.1,1.4,1577,10.0,1.0,1471,13.0,1.1
"지역별","대구",여학생,2380,16.9,1.0,2048,16.1,1.2,1688,14.7,1.3,1990,11.2,1.3,1889,10.8,1.5,1533,12.8,1.3,1486,10.9,1.3,1581,9.8,1.3,1593,10.9,1.1,1353,11.8,1.4,1190,6.8,1.0,1458,7.7,1.0
"지역별","인천",전체,5008,19.8,1.0,4516,19.4,1.1,4302,17.7,1.2,4140,14.6,1.1,4120,15.2,1.1,3847,15.0,1.0,3724,12.6,0.8,3431,14.5,1.2,3398,15.4,0.8,3241,13.4,0.7,3020,10.0,0.7,3181,9.7,0.7
"지역별","인천",남학생,2566,21.2,2.1,2183,24.0,2.0,2237,20.8,1.8,1995,17.9,1.6,2091,19.0,1.9,2104,18.4,1.5,1971,15.1,1.4,1809,17.4,2.0,1802,15.8,1.9,1812,15.6,1.5,1632,12.0,1.1,1628,11.1,1.0
